+,179,7870,1142,7807,4805,9620,8366,9253,6182,8655
+,5456,8863,3243,4229,9761,8660,7261,5778,3905,4310
+,1968,6083,3114,1611,5400,9757,6376,3,408,5954
+,9410,8614,6476,4685,1933,4352,3946,6694,3984,8055
+,4622,3335,9636,3281,1091,3447,159,549,127,492
+,6445,7221,8237,714,1329,1579,5409,4564,4689,9795
+,2589,6578,1962,2667,2128,5823,1547,1319,9440,1997
-,448,0,0,0,0,0,0,0,0,0
+,1038,9935,5585,1958,6294,2260,3346,2973,5305,2040
+,702,49,6390,4589,1197,6660,365,9356,4223,4245
-,985,0,0,0,0,0,0,0,0,0
+,7084,4088,6425,22,7918,6622,4465,7638,1849,7769
+,2894,212,8054,4769,8167,5578,8101,1632,5978,6033
+,6584,2621,5505,7312,9729,8883,271,4067,850,4677
+,1336,5945,1026,3532,1577,9119,4623,7659,1575,5112
+,5109,9104,8749,4518,2903,3550,8293,4392,3149,2244
+,8578,7062,2544,7439,344,2919,3789,4075,4787,953
+,1210,3880,5759,8526,9595,8692,2815,1739,6717,8270
+,3482,8331,7912,1567,7449,1996,5817,5597,1134,1714
+,7773,3581,1722,1299,9843,3082,9787,5455,1329,5418
+,121,2135,1160,3641,5471,6164,4780,1422,6972,1600
+,6997,833,8148,274,2803,6526,8281,2686,9766,9121
+,8171,4812,2840,3495,7530,2269,3791,3065,6066,537
-,372,0,0,0,0,0,0,0,0,0
+,7807,8129,4950,8777,6753,5479,43,1657,5487,4725
+,8342,3806,1670,7050,3663,9432,6042,5702,2508,6148
+,6822,4347,1763,1036,6485,4952,1482,8268,4849,2352
+,7357,6492,4937,3380,422,3917,5505,932,9224,3432
+,7981,7840,8586,8715,2444,882,5693,3372,164,7776
+,6556,1054,5824,8171,2804,608,1550,965,4732,637
+,1295,7083,7606,8331,7259,695,58,5077,7934,3705
+,8357,6503,5813,7893,4705,4262,2074,1427,162,3680
-,739,0,0,0,0,0,0,0,0,0
+,5193,5980,4077,5043,1423,5914,2161,5582,5685,7648
+,8350,8218,2737,5699,5616,8395,5537,404,971,141
+,2072,6983,5993,3939,5929,6880,1619,9322,2721,6240
+,9562,7454,2571,8754,2699,287,8246,4302,5617,3957
+,9586,4946,3491,8377,2069,7433,8682,3841,6786,8078
+,8482,8207,6726,7259,5433,6695,317,3200,5555,813
+,9217,3306,5882,3897,5438,9709,9638,903,8994,1029
+,4247,831,6213,7314,584,9474,3682,9184,9504,6197
+,3828,2067,6486,7676,1346,4608,381,4956,5975,2213
+,3649,2734,9524,1942,6172,7166,5453,1003,8053,7749
+,3319,303,1491,8090,1043,1851,5362,3392,6255,5989
+,8206,5432,4951,1763,8233,7766,1126,1620,2265,7600
+,5261,8203,5735,889,2241,6606,4171,9023,9104,412
+,3232,9748,9480,1062,7799,48,8375,8842,3458,6889
+,6685,2795,7463,1192,710,6385,8924,5053,5122,8186
+,4945,6802,8976,6177,2322,4416,4194,7801,2333,9840
+,3430,7888,4966,454,3265,4608,3208,3758,7658,3364
+,6432,5591,3496,4326,6637,6266,2078,400,9171,3573
+,6176,4952,3023,2701,210,8634,7286,3605,922,6881
+,6723,310,879,193,1037,6972,8640,9553,5703,8561
+,3862,431,2988,9678,4753,2915,7636,975,2378,533
+,8499,5546,7678,6207,3140,4847,556,2028,4481,7772
+,6157,6694,6688,9948,7675,2896,2943,9316,4122,5491
+,6105,8510,604,2490,536,2045,3040,8482,8172,1021
+,4884,4452,9216,2688,6594,6346,3316,7706,9962,4699
+,6844,8738,9360,7235,7074,4001,5208,6555,3910,8568
+,1441,4188,6523,1779,7867,947,6640,7124,7478,9966
+,92,5830,2485,4511,5047,8468,710,4875,5630,1785
+,1302,5334,685,2535,2086,4195,3341,7473,6876,8672
-,473,0,0,0,0,0,0,0,0,0
+,897,3012,261,3992,3646,3729,9326,897,4998,859
+,6776,7923,7395,8979,8911,7197,3708,4628,5871,8945
+,244,8678,7323,3241,7496,6053,9190,110,2591,964
+,211,4808,1916,2926,9464,5089,4846,5672,2412,7542
+,2375,7451,3252,1813,515,9750,2884,8867,2181,7706
+,4899,4662,4872,5316,3855,211,1233,3065,2163,5094
+,9820,3182,1617,667,1786,1478,2135,614,4895,9531
+,6571,3584,7290,9503,4511,5467,9221,8972,4013,1231
+,2022,8330,9737,3570,5256,4369,9793,6778,2712,989
+,4444,2870,4525,4971,4852,4022,3653,4164,3830,4487
+,7822,5653,4356,1310,7552,5309,4982,6682,2644,6917
+,9479,8640,2553,729,8100,2790,7999,8472,2550,5806
+,8414,3316,1593,3899,2049,6656,4126,5735,2203,9372
+,5165,1545,9643,8181,7480,9575,1648,3788,1352,6098
+,568,1958,6598,8735,192,4339,5790,9838,4862,7445
+,410,1284,3950,659,3655,5792,6856,3062,756,3299
+,1227,1170,9641,7448,2457,540,4090,5028,6883,8671
-,915,0,0,0,0,0,0,0,0,0
+,903,2295,9615,8155,7060,5973,7444,3159,6003,1890
+,1424,4750,6633,5791,7821,4090,3633,7429,1105,6659
+,6316,7556,1860,8376,8539,1678,1916,1478,998,9275
+,2890,2628,8264,3250,7521,5703,9753,5350,389,2296
+,7527,5573,7710,7399,265,3406,9104,9448,352,28
+,9137,8237,3974,6881,8751,8287,6499,8002,7915,4345
+,5849,9197,9237,5955,7485,5007,8778,9280,428,5510
-,426,0,0,0,0,0,0,0,0,0
+,8540,7653,8382,3164,9010,3698,7887,3591,2162,3851
+,8622,2456,8819,3039,7249,2357,6649,6225,4574,3241
+,8568,6470,2204,4169,7991,4876,4746,1554,82,87
+,9054,8490,5522,3663,1066,9830,8116,9332,5485,6505
+,723,7863,9406,1601,5895,9821,9980,6124,1849,709
+,1709,3282,2058,2315,4873,1206,69,8705,173,7665
+,4513,9055,6039,7729,8021,8824,9835,845,4912,9007
+,3572,6861,3411,2793,7311,807,6584,7762,9084,1542
+,2673,6061,5081,4659,582,4137,8548,3176,8057,7329
+,6479,7780,9690,1514,7060,4864,1050,9261,9711,8649
-,128,0,0,0,0,0,0,0,0,0
+,3917,8663,9953,5027,1414,5690,7840,4431,8796,6849
+,4741,6627,6078,4484,5785,9011,7618,1727,5303,8032
