OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20
+,6660,9179,9230,4671,9543,9865,7575,1268,681,3930,1877,1084,8981,7198,8466,8774,6669,8601,3670,3482
+,4460,6502,833,3619,7240,383,1810,2736,9476,9660,4210,5255,8237,3085,3172,3181,9999,5154,6124,5091
+,9080,514,5420,3670,1232,8707,4330,4098,3622,5729,1001,1290,4493,3450,4447,3398,5104,1402,3961,4025
+,5409,6041,2597,2849,8119,4618,4668,1600,856,6632,2169,6877,1763,4040,8358,8170,1475,6835,550,5506
+,7855,4493,3401,62,9140,7274,550,7139,8080,5220,3948,3912,8856,2445,6206,1145,3624,5542,2971,6325
+,1777,2907,2704,6715,9517,5315,6357,7851,7311,9602,482,1953,1368,5930,7060,537,28,4914,9710,4808
+,9631,1823,5868,9078,7663,7217,6596,2255,1862,6754,5285,172,8399,7149,8176,3726,2817,7876,3961,1998
+,2897,5908,9098,3724,4095,5862,7332,6917,2219,2077,3690,878,5396,1762,1589,3277,3162,9985,5570,7701
+,7920,7873,1157,4616,6351,2618,447,6143,980,7285,2686,4970,5113,3260,6955,4204,6726,4921,6852,9713
+,1014,2859,5934,4324,8156,2920,164,9656,5635,4082,8588,849,6260,7301,7252,856,9515,426,835,5833
+,3377,735,2471,325,5371,8411,2988,4655,9645,7323,6464,3301,7091,8543,8940,6832,1490,4645,5137,2322
+,1036,8374,2398,815,4286,545,7997,2585,5899,9938,8773,6201,3706,7091,9548,24,3347,457,6485,3293
+,9470,9561,3621,3432,1825,3434,4471,161,4942,1266,5541,3570,1331,9438,5981,3581,9522,1592,688,9938
+,7707,9328,7959,1253,1367,4943,1523,4296,8324,4727,3726,5496,6131,6797,5568,9791,3389,4076,4111,1914
+,3411,4616,6253,4338,6019,9910,1497,9002,4509,5356,4080,5945,7852,5676,5671,1619,8423,5889,2570,1654
+,1847,3465,7554,4361,6404,8657,5402,1341,8873,5973,8617,1030,8674,9712,3475,3719,9690,7702,8655,1269
+,6489,1412,5245,8008,2575,7660,3109,1743,8216,4042,6324,2239,4940,4725,6502,4861,3749,2751,9839,4187
+,3333,5599,1273,6069,6273,8529,779,9784,1464,4423,2181,999,4081,7909,3106,2355,5223,7039,7674,3808
+,4072,3207,1447,3998,1255,3275,2789,7901,6167,91,6431,5663,6566,3142,3591,2604,1727,2373,1251,2984
+,2946,646,214,2430,9593,1719,1333,7464,8494,4567,4771,4338,163,4983,2692,910,4543,2232,4787,7601
+,5467,9081,4796,7150,2280,127,5256,1996,858,4953,8569,322,2217,1726,8103,5548,3164,6918,4986,934
+,1198,1138,257,465,4456,6882,5596,7916,2246,8979,3018,6864,2151,2966,2536,1683,3915,3360,9892,5570
+,4783,6774,1137,2759,943,1036,238,6411,186,9007,4101,1610,7600,9752,7619,9874,7423,3336,2557,4026
+,2158,927,385,2764,1451,5872,4947,536,5051,8827,461,5446,3176,9652,4208,9294,3418,5504,4056,5057
+,7295,9067,7511,4273,3689,6149,5418,2316,4673,6028,9946,705,9867,9479,693,5848,5374,5591,1715,9228
-,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,441,8017,2275,1444,6871,1297,8515,3551,2909,8812,6318,7079,491,9155,4586,8776,5640,1543,1936,628
+,1253,9503,2727,2729,6988,4277,1106,3187,529,1648,3886,1861,1122,2803,9374,6325,2907,2127,9755,1662
