OP,A1,A2,A3,A4,A5
+,130,9253,130,3099,5615
+,5403,4125,9322,4870,1101
+,422,2058,5964,9574,7018
+,982,1549,8327,4936,1839
+,7129,3209,960,9382,9257
+,7072,665,4862,6657,7608
+,8066,7927,8994,4141,4048
+,6841,7716,5653,9693,8408
+,1020,6492,410,7456,8187
+,8365,9009,7002,5157,6957
+,8100,1810,5545,589,4166
+,3229,5563,1798,7043,7645
+,4763,5742,9724,5249,7693
+,8969,6875,2229,5826,9415
+,2778,9096,923,9610,5542
+,7131,8774,2920,2945,9054
+,1208,7468,46,8418,9237
+,8193,4046,9749,6362,2446
+,1491,2588,7990,1048,4597
+,8792,5396,5066,6170,7675
+,7515,1700,2289,1133,7289
-,305,0,0,0,0
+,6806,6120,7307,4784,5062
+,8881,8678,241,5712,7515
+,6785,5028,7498,7689,7281
-,724,0,0,0,0
+,8082,9041,6198,2153,8741
+,247,179,7929,2752,3613
+,3625,2209,8547,7245,274
+,33,5922,9574,4878,8710
+,657,9716,1580,5857,5049
+,1115,9181,3082,7945,2189
+,2982,4420,1566,7719,2627
-,408,0,0,0,0
+,7839,7032,7102,3973,9616
+,2031,8777,3540,8593,5726
+,1239,4473,794,841,8041
+,2552,7568,5220,2253,2308
+,532,7123,5307,719,9356
+,7555,5772,3193,34,1157
+,1206,6367,8861,7254,4518
+,6693,6591,385,2956,2976
+,3984,374,3375,3220,7979
+,406,6790,7161,6571,8931
+,1770,7732,1377,4232,3501
+,4998,9439,1994,1503,2877
+,8118,5334,499,9686,9582
+,9317,839,1232,7186,9550
+,234,8388,55,1530,9170
-,893,0,0,0,0
+,944,8520,424,3750,2140
+,4429,9750,18,3512,703
+,6321,9840,3724,8962,4418
+,3937,1096,674,2004,5354
+,3804,6261,6517,8350,2732
+,6467,8121,9934,5906,8603
+,6347,4664,8841,9396,1342
-,149,0,0,0,0
+,5198,3350,2399,9147,2357
+,9391,7715,913,831,1888
+,2911,6899,5173,4529,2573
+,2061,5764,192,1116,4699
+,7127,5902,4941,6101,5154
